targets, factors
Gene264, (!Gene856 & Gene671 & Gene355 & Gene869) | (Gene856 & Gene671 & !Gene355)
Gene265, (!Gene418 & !Gene222 & !Gene993) | (!Gene418 & Gene196 & !Gene222)
Gene266, (!Gene208 & !Gene485 & !Gene524) | (Gene485 & Gene34 & !Gene524) | (Gene208 & Gene485 & !Gene524)
Gene267, (!Gene815) | (!Gene359 & Gene644) | (Gene888 & Gene644)
Gene268, (!Gene451 & Gene878) | (!Gene451 & Gene947 & Gene984)
Gene269, (Gene270 & Gene508 & !Gene328) | (!Gene153 & Gene270 & Gene508) | (Gene153 & Gene270 & !Gene328)
Gene270, (!Gene686 & !Gene526 & Gene386) | (!Gene686 & !Gene526 & Gene995) | (Gene686 & !Gene526 & !Gene995 & !Gene386) | (!Gene526 & Gene995 & Gene386)
Gene271, (!Gene999 & !Gene274) | (Gene779) | (!Gene999 & Gene794) | (Gene999 & !Gene794 & Gene274) | (Gene794 & !Gene274)
Gene272, (!Gene344 & Gene368 & !Gene732) | (Gene344 & Gene368 & Gene732) | (Gene173 & Gene368 & !Gene732)
Gene273, (Gene805) | (!Gene451 & Gene882) | (Gene139)
Gene274, (!Gene284) | (!Gene206 & Gene578 & !Gene866) | (Gene206 & !Gene578 & !Gene866)
Gene275, (Gene187) | (!Gene450 & Gene971) | (Gene450 & !Gene971 & Gene210)
Gene276, (!Gene652 & !Gene565 & !Gene411 & Gene858) | (Gene652 & !Gene565 & Gene411 & !Gene858)
Gene277, (!Gene175 & !Gene816) | (!Gene779) | (!Gene722) | (Gene175 & Gene816)
Gene278, (!Gene838 & !Gene540 & !Gene243 & !Gene832) | (!Gene838 & !Gene540 & Gene243 & Gene832)
Gene279, (!Gene410 & Gene911) | (Gene263 & !Gene911) | (Gene410 & !Gene911) | (Gene507)
Gene280, (Gene527) | (!Gene678 & Gene642) | (!Gene274 & Gene642) | (Gene274 & !Gene678)
Gene281, (Gene696 & Gene841) | (Gene696 & Gene75) | (Gene823 & Gene696)
Gene282, (!Gene539 & !Gene97) | (Gene539 & Gene97) | (Gene833) | (Gene204 & !Gene97)
Gene283, (!Gene824 & !Gene221) | (!Gene383 & Gene221) | (!Gene40) | (Gene824 & Gene221)
Gene284, (Gene929) | (Gene348 & Gene263) | (Gene348 & Gene82)
Gene285, (Gene820 & !Gene972 & !Gene468) | (Gene820 & Gene760 & Gene468)
Gene286, (!Gene349) | (!Gene144 & !Gene984) | (!Gene495 & Gene984) | (Gene495 & !Gene984)
Gene287, (!Gene736 & !Gene529) | (!Gene720) | (Gene21 & Gene529)
Gene288, (!Gene787) | (!Gene314) | (Gene645) | (Gene198)
Gene289, (!Gene160 & Gene747 & !Gene451 & !Gene693) | (Gene160 & Gene747 & Gene451 & !Gene693)
Gene290, (Gene278 & Gene634 & !Gene299) | (Gene4 & Gene278 & Gene299)
Gene291, (!Gene679 & !Gene149 & Gene285) | (!Gene842 & !Gene679 & Gene285) | (Gene842 & !Gene679 & !Gene285)
Gene292, (!Gene779) | (!Gene732 & Gene58) | (Gene732 & !Gene58 & !Gene758)
Gene293, (!Gene53 & Gene178 & Gene292) | (!Gene236 & Gene178 & Gene292) | (Gene236 & !Gene53 & Gene292)
Gene294, (!Gene645 & !Gene47 & !Gene725) | (Gene47 & !Gene725 & Gene364) | (Gene645 & Gene47 & !Gene725)
Gene295, (!Gene914) | (!Gene476 & !Gene627) | (!Gene528)
Gene296, (Gene626 & !Gene437 & Gene649) | (Gene626 & !Gene437 & Gene938)
Gene297, (Gene900 & !Gene580) | (Gene900 & Gene792) | (Gene381 & Gene900)
Gene298, (!Gene688 & !Gene1000 & !Gene171) | (Gene688 & Gene1000 & !Gene171) | (Gene435 & !Gene1000 & !Gene171)
Gene299, (!Gene133 & !Gene518 & !Gene200) | (!Gene608 & !Gene518 & Gene200) | (Gene608 & !Gene518 & !Gene200)
Gene300, (!Gene94 & !Gene667 & !Gene414) | (!Gene94 & !Gene667 & !Gene875) | (Gene94 & !Gene667 & Gene875 & Gene414)
Gene301, (Gene539 & !Gene944 & Gene9) | (Gene342 & Gene9)
Gene302, (!Gene875) | (Gene194) | (Gene308 & !Gene98)
Gene303, (!Gene59) | (!Gene395 & !Gene188 & Gene153) | (Gene188 & !Gene153)
Gene304, (!Gene951 & !Gene533 & Gene730) | (Gene399 & !Gene533 & !Gene730) | (Gene951 & !Gene533 & !Gene730)
Gene305, (!Gene301 & Gene185) | (Gene409) | (!Gene301 & Gene759)
Gene306, (!Gene910 & !Gene980 & !Gene746) | (Gene951) | (Gene910 & !Gene980 & Gene746)
Gene307, (!Gene783 & !Gene686) | (!Gene233 & !Gene686) | (Gene233 & !Gene783) | (Gene681)
Gene308, (Gene193 & !Gene795) | (!Gene696 & Gene873 & !Gene795)
Gene309, (Gene8) | (Gene209 & !Gene357) | (Gene209 & !Gene631)
Gene310, (!Gene733) | (!Gene910 & Gene106) | (Gene84 & Gene106)
Gene311, (!Gene148 & !Gene854 & Gene100) | (!Gene148 & Gene854 & !Gene100) | (!Gene148 & Gene414 & Gene100)
Gene312, (!Gene94) | (!Gene564 & Gene836 & Gene607) | (Gene564 & Gene836 & !Gene607)
Gene313, (!Gene33 & !Gene49) | (Gene956) | (!Gene49 & Gene404) | (Gene33 & Gene49 & !Gene404)
Gene314, (!Gene685 & Gene42 & !Gene360) | (Gene858 & !Gene685)
Gene315, (!Gene117 & !Gene145 & !Gene18) | (!Gene117 & Gene59 & !Gene18) | (!Gene145 & Gene59 & !Gene18) | (Gene117 & Gene145 & !Gene59 & !Gene18)
Gene316, (!Gene786 & Gene233 & !Gene358) | (!Gene786 & Gene233 & Gene506) | (Gene233 & !Gene358 & Gene506) | (Gene786 & Gene233 & Gene358 & !Gene506)
Gene317, (Gene862 & !Gene243 & !Gene624 & Gene382) | (Gene862 & Gene243 & Gene624 & !Gene382)
Gene318, (!Gene647 & !Gene937 & !Gene622 & !Gene897) | (Gene937 & !Gene622 & Gene897) | (Gene647 & Gene937 & !Gene622)
Gene319, (!Gene313 & !Gene194) | (!Gene826 & !Gene384 & !Gene194) | (Gene826 & Gene384 & !Gene194)
Gene320, (!Gene520) | (!Gene325 & !Gene124 & Gene959) | (!Gene325 & Gene124 & !Gene959) | (Gene325 & !Gene124 & !Gene959)
Gene321, (!Gene509 & !Gene168) | (!Gene381 & Gene168) | (Gene395) | (Gene381 & !Gene168) | (Gene509 & Gene168)
Gene322, (!Gene666 & !Gene922 & Gene231) | (!Gene666 & Gene984 & Gene231)
Gene323, (Gene709) | (!Gene287 & Gene139) | (Gene405 & !Gene287) | (Gene405 & Gene139)
Gene324, (Gene635) | (!Gene157 & Gene181) | (!Gene807 & Gene157)
Gene325, (Gene518 & Gene838 & Gene377) | (Gene253 & Gene518)
Gene326, (!Gene309) | (Gene203 & Gene908) | (Gene834 & !Gene203 & !Gene908)
Gene327, (!Gene768) | (!Gene664) | (Gene226 & !Gene75)
Gene328, (!Gene377 & !Gene621 & !Gene876) | (!Gene377 & !Gene351 & !Gene876)
Gene329, (!Gene552 & !Gene833) | (!Gene316) | (Gene552 & Gene833) | (Gene705)
Gene330, (!Gene950) | (Gene515) | (Gene525 & Gene730)
Gene331, (!Gene490 & !Gene204) | (!Gene446 & Gene204) | (Gene749) | (Gene446 & !Gene204)
Gene332, (!Gene462 & !Gene681 & !Gene421 & Gene334)
Gene333, (Gene225) | (!Gene98 & Gene697) | (Gene98 & !Gene697) | (Gene697 & Gene148)
Gene334, (!Gene842 & !Gene687) | (!Gene842 & !Gene398 & Gene136) | (!Gene842 & Gene398 & !Gene136)
Gene335, (!Gene722 & !Gene236 & !Gene637) | (Gene710 & !Gene722 & Gene236 & Gene637)
Gene336, (!Gene573) | (Gene243 & !Gene815 & !Gene717)
Gene337, (!Gene480) | (!Gene155 & !Gene213 & Gene442) | (Gene213 & !Gene442) | (Gene155 & Gene213)
Gene338, (!Gene506 & !Gene837) | (Gene897) | (!Gene837 & Gene144) | (Gene506 & Gene837)
Gene339, (!Gene800) | (Gene668) | (Gene239) | (Gene699)
Gene340, (!Gene216) | (!Gene774 & Gene345 & !Gene990) | (Gene774 & Gene990)
Gene341, (!Gene811) | (!Gene123) | (Gene458 & !Gene356)
Gene342, (!Gene717 & !Gene275 & !Gene872 & Gene216) | (!Gene717 & Gene872 & !Gene216) | (!Gene717 & Gene275 & !Gene216)
Gene343, (!Gene19 & !Gene823) | (Gene161) | (!Gene19 & Gene916)
Gene344, (!Gene987 & !Gene759 & Gene856) | (Gene759 & Gene856 & Gene32) | (Gene987 & Gene759 & Gene856)
Gene345, (!Gene743) | (Gene691) | (Gene862) | (Gene247)
Gene346, (Gene896 & !Gene69 & !Gene173) | (!Gene220 & Gene896 & !Gene69) | (Gene220 & Gene896 & !Gene173)
Gene347, (!Gene336 & Gene616 & !Gene792) | (!Gene336 & Gene616 & !Gene634) | (Gene336 & Gene616 & Gene634 & Gene792)
Gene348, (!Gene424 & !Gene762) | (Gene762 & Gene884) | (Gene424 & Gene762) | (Gene296)
Gene349, (!Gene712 & !Gene20 & !Gene520) | (!Gene703 & Gene20 & !Gene520) | (Gene703 & !Gene20 & !Gene520) | (Gene712 & Gene20 & !Gene520)
Gene350, (!Gene673 & Gene910 & !Gene764 & Gene176) | (Gene673 & !Gene910 & !Gene764 & !Gene176)
Gene351, (!Gene525 & !Gene486) | (!Gene633 & !Gene525) | (Gene984) | (Gene633 & !Gene486) | (Gene633 & Gene525)
Gene352, (!Gene597) | (!Gene136 & Gene368) | (Gene107 & !Gene136)
Gene353, (!Gene722 & !Gene137 & !Gene450) | (!Gene137 & Gene941 & !Gene450)
Gene354, (!Gene607 & Gene799 & !Gene530) | (Gene607 & Gene799 & Gene207 & Gene530)
Gene355, (Gene903 & !Gene772 & !Gene138) | (Gene903 & !Gene169 & !Gene772) | (Gene903 & Gene169 & !Gene138) | (Gene903 & Gene169 & Gene772)
Gene356, (!Gene960) | (Gene205 & !Gene246 & !Gene767)
Gene357, (!Gene414 & !Gene200) | (!Gene964 & !Gene414) | (Gene708) | (Gene964 & !Gene200) | (Gene964 & Gene414)
Gene358, (!Gene653) | (!Gene872 & !Gene47) | (Gene479 & !Gene47)
Gene359, (!Gene306 & Gene640) | (Gene306 & !Gene640) | (Gene471) | (Gene777)
Gene360, (Gene365) | (Gene475 & Gene269 & !Gene748)
Gene361, (!Gene652) | (Gene969 & Gene335) | (Gene962 & Gene335)
Gene362, (!Gene528) | (Gene595 & Gene354) | (Gene350 & !Gene595 & !Gene354)
Gene363, (!Gene402) | (!Gene611 & Gene106) | (!Gene523 & Gene611 & !Gene106)
Gene364, (!Gene302 & !Gene746 & Gene287) | (Gene45 & Gene302 & !Gene746 & !Gene287)
Gene365, (!Gene972 & !Gene315 & !Gene40 & !Gene179) | (Gene315 & !Gene40 & Gene179)
Gene366, (!Gene461 & Gene503 & !Gene573 & !Gene925) | (Gene461 & Gene503 & Gene573 & !Gene925)
Gene367, (!Gene337 & Gene704 & !Gene532) | (Gene906 & !Gene704 & !Gene532) | (Gene337 & !Gene704 & !Gene532)
Gene368, (!Gene215 & !Gene296) | (Gene992) | (Gene669 & !Gene296) | (Gene215 & Gene669)
Gene369, (!Gene139 & !Gene358) | (Gene304) | (!Gene495 & Gene139 & Gene358) | (Gene495 & !Gene139)
Gene370, (!Gene42 & !Gene584 & !Gene982) | (!Gene584 & Gene806)
Gene371, (Gene428 & !Gene749 & Gene335) | (Gene428 & Gene749 & !Gene628 & !Gene335)
Gene372, (!Gene532) | (!Gene579 & Gene182) | (Gene579 & !Gene757 & !Gene182)
Gene373, (!Gene385 & Gene377 & !Gene110 & Gene123) | (Gene385 & Gene377 & !Gene123) | (Gene385 & Gene377 & Gene110)
Gene374, (!Gene286) | (!Gene239 & !Gene528) | (!Gene239 & !Gene124) | (Gene124 & !Gene528) | (Gene239 & Gene124)
Gene375, (!Gene472 & !Gene160 & !Gene255) | (Gene472 & Gene160 & !Gene255) | (Gene46 & !Gene255)
Gene376, (!Gene656 & !Gene445 & !Gene412 & !Gene995) | (Gene656 & Gene445 & !Gene412 & !Gene995)
Gene377, (!Gene157) | (!Gene883 & !Gene866) | (Gene632)
Gene378, (!Gene42 & !Gene445) | (!Gene570 & !Gene445) | (!Gene570 & Gene42) | (Gene570 & !Gene42) | (Gene945)
Gene379, (!Gene697 & Gene555 & Gene785) | (Gene697 & !Gene555 & Gene785 & Gene734)
Gene380, (!Gene238 & Gene268) | (!Gene465 & Gene238 & !Gene268) | (Gene801) | (Gene465 & !Gene238)
Gene381, (Gene332 & !Gene348) | (Gene332 & Gene640 & !Gene146)
Gene382, (Gene14 & !Gene407 & !Gene662) | (Gene14 & Gene544 & !Gene407)
Gene383, (!Gene349) | (!Gene25 & Gene604 & Gene555) | (Gene25 & !Gene555) | (Gene25 & !Gene604)
Gene384, (!Gene570 & !Gene386 & Gene584) | (Gene570 & Gene386 & Gene584) | (Gene506 & !Gene386 & Gene584)
Gene385, (!Gene251 & !Gene479) | (!Gene896) | (!Gene482 & Gene251 & Gene479) | (Gene482 & !Gene251) | (Gene482 & !Gene479)
Gene386, (!Gene259) | (!Gene348 & !Gene952) | (!Gene986 & Gene348 & Gene952)
Gene387, (!Gene50 & !Gene426 & Gene4 & !Gene218) | (!Gene50 & Gene426 & !Gene4 & !Gene218)
Gene388, (!Gene782 & !Gene755 & Gene161) | (Gene670 & !Gene782 & Gene161)
Gene389, (Gene480 & !Gene174 & Gene684) | (!Gene85 & Gene480 & Gene174 & !Gene684)
Gene390, (!Gene885 & !Gene627 & !Gene673) | (!Gene885 & Gene627 & Gene673) | (Gene961) | (Gene885 & !Gene627 & Gene673) | (Gene885 & Gene627 & !Gene673)
Gene391, (Gene506 & !Gene887 & Gene107 & !Gene775)
Gene392, (!Gene259 & Gene952 & Gene222) | (Gene259 & !Gene952 & !Gene644 & Gene222) | (Gene952 & Gene644 & Gene222)
Gene393, (!Gene21 & !Gene160) | (Gene998) | (!Gene21 & Gene789) | (Gene21 & !Gene789 & Gene160) | (Gene789 & !Gene160)
Gene394, (!Gene70) | (!Gene823) | (Gene10) | (Gene293)
Gene395, (!Gene889 & !Gene308 & Gene303 & !Gene812) | (Gene889 & Gene303 & Gene812)
Gene396, (!Gene827 & Gene276 & !Gene791) | (Gene587 & Gene827 & !Gene791)
Gene397, (!Gene66 & Gene852 & Gene627) | (!Gene98 & Gene852 & Gene627) | (Gene98 & Gene852 & !Gene627)
Gene398, (!Gene473) | (!Gene414 & !Gene86 & !Gene979) | (Gene86 & Gene979) | (Gene414 & Gene979)
Gene399, (!Gene536) | (!Gene942 & Gene841 & !Gene365) | (Gene942 & !Gene841)
Gene400, (!Gene505 & !Gene425 & !Gene952) | (!Gene844) | (!Gene505 & Gene425 & Gene952)
Gene401, (!Gene81 & !Gene138) | (!Gene715 & Gene138) | (Gene90) | (Gene81 & Gene138)
Gene402, (!Gene176) | (!Gene964 & !Gene825) | (Gene22) | (Gene964 & Gene825)
Gene403, (!Gene645 & !Gene359 & Gene106) | (!Gene833 & !Gene359 & Gene106)
Gene404, (!Gene545 & Gene441 & !Gene663) | (Gene588)
Gene405, (!Gene503) | (!Gene19) | (Gene692 & !Gene70)
Gene406, (!Gene423) | (!Gene325 & Gene332) | (Gene97) | (Gene325 & !Gene332)
Gene407, (!Gene12 & Gene820 & !Gene869) | (Gene442 & !Gene12 & !Gene820 & Gene869)
Gene408, (Gene534) | (Gene376) | (Gene454 & Gene227)
Gene409, (!Gene153) | (!Gene446 & !Gene648) | (!Gene825 & Gene648)
Gene410, (!Gene652) | (!Gene949 & !Gene422) | (!Gene949 & Gene344) | (Gene344 & !Gene422)
Gene411, (Gene123 & !Gene482 & Gene84) | (Gene537 & !Gene123 & Gene482 & Gene84)
Gene412, (!Gene497 & !Gene994 & Gene300 & Gene899) | (!Gene497 & Gene994 & Gene300 & !Gene899)
Gene413, (!Gene690 & Gene82 & Gene419) | (!Gene690 & Gene766 & !Gene82)
Gene414, (!Gene209 & !Gene224 & Gene111 & !Gene228) | (Gene224 & !Gene111 & !Gene228)
Gene415, (!Gene640 & Gene316 & Gene584) | (Gene640 & !Gene316 & Gene584) | (Gene193 & Gene584)
Gene416, (!Gene646) | (Gene382 & !Gene686) | (Gene382 & Gene828)
Gene417, (!Gene96 & !Gene585 & Gene356) | (!Gene96 & !Gene585 & Gene9)
Gene418, (!Gene630) | (Gene196) | (!Gene105 & Gene912) | (Gene105 & !Gene912)
Gene419, (!Gene335 & Gene436) | (Gene457) | (Gene335 & !Gene436 & Gene430)
Gene420, (!Gene224 & Gene544 & Gene11) | (Gene544 & Gene11 & Gene787)
Gene421, (!Gene494 & !Gene666 & Gene690) | (!Gene494 & !Gene666 & Gene600) | (Gene494 & !Gene666 & !Gene600 & !Gene690) | (!Gene666 & Gene600 & Gene690)
Gene422, (!Gene626) | (!Gene112 & Gene331) | (Gene543 & Gene112)
Gene423, (Gene959) | (Gene238 & !Gene593) | (Gene238 & Gene399)
Gene424, (Gene639 & !Gene222 & Gene83) | (!Gene698 & Gene639 & Gene83) | (Gene698 & !Gene222 & Gene83) | (Gene698 & !Gene639 & Gene83)
Gene425, (!Gene459) | (!Gene782 & Gene100) | (Gene905 & !Gene100) | (Gene782 & !Gene100)
Gene426, (!Gene89 & !Gene173 & !Gene873 & Gene382) | (!Gene89 & !Gene173 & Gene873 & !Gene382) | (Gene89 & !Gene173 & Gene873 & Gene382)
Gene427, (!Gene585) | (!Gene779) | (!Gene693 & Gene16) | (Gene693 & !Gene16)
Gene428, (!Gene589 & Gene978 & Gene961) | (Gene589 & !Gene978 & Gene311 & Gene961)
Gene429, (!Gene759) | (Gene303) | (Gene380 & !Gene376)
Gene430, (!Gene30 & !Gene337 & !Gene248) | (!Gene30 & Gene506) | (!Gene30 & Gene337 & Gene248)
Gene431, (!Gene130 & !Gene211 & Gene537 & Gene474) | (Gene211 & Gene537 & !Gene474)
Gene432, (!Gene66 & Gene74 & !Gene897 & !Gene844)
Gene433, (Gene573) | (!Gene814 & Gene820 & !Gene512) | (Gene814 & !Gene820 & !Gene512)
Gene434, (!Gene109) | (Gene240 & Gene25) | (Gene528 & !Gene240)
Gene435, (Gene140 & !Gene338 & Gene693) | (Gene140 & !Gene284 & Gene338 & !Gene693) | (Gene140 & Gene284 & Gene693)
Gene436, (Gene884 & !Gene579 & !Gene634) | (Gene98 & Gene884)
Gene437, (!Gene519) | (!Gene323 & !Gene494 & Gene344) | (Gene323 & Gene494 & !Gene344)
Gene438, (!Gene134 & !Gene305 & !Gene254) | (Gene853)
Gene439, (!Gene185 & !Gene788) | (!Gene508) | (!Gene185 & Gene263) | (Gene185 & Gene788 & !Gene263)
Gene440, (!Gene906 & !Gene99 & !Gene150) | (!Gene906 & !Gene658 & !Gene150)
Gene441, (!Gene480 & Gene682) | (!Gene480 & Gene965) | (Gene965 & Gene682) | (Gene546)
Gene442, (!Gene450) | (Gene906) | (!Gene993 & Gene908)
Gene443, (!Gene428 & !Gene541) | (Gene92) | (!Gene745 & !Gene541) | (!Gene745 & Gene428)
Gene444, (!Gene949 & !Gene383 & Gene594 & !Gene861) | (Gene383 & Gene594 & Gene861) | (Gene949 & Gene594 & Gene861) | (Gene949 & Gene383 & Gene594)
Gene445, (!Gene173 & Gene800 & Gene73) | (Gene168) | (Gene173 & !Gene800 & Gene73) | (Gene173 & Gene800 & !Gene73)
Gene446, (Gene403 & !Gene196 & !Gene918) | (!Gene430 & Gene403)
Gene447, (Gene69 & Gene305 & !Gene354) | (Gene69 & Gene486 & !Gene354) | (Gene69 & Gene486 & !Gene305)
Gene448, (Gene175) | (!Gene783 & !Gene550 & Gene778) | (Gene783 & !Gene778)
Gene449, (Gene81) | (Gene113 & !Gene332) | (Gene375 & !Gene113 & Gene332)
Gene450, (!Gene43 & !Gene253) | (!Gene996) | (!Gene43 & Gene690) | (Gene43 & Gene253 & !Gene690)
Gene451, (!Gene384 & !Gene310) | (!Gene379 & !Gene384) | (!Gene379 & !Gene310) | (Gene243)
Gene452, (!Gene148 & !Gene347) | (!Gene148 & !Gene777) | (!Gene148 & Gene365)
Gene453, (!Gene355 & !Gene52 & Gene673) | (!Gene52 & Gene443 & Gene673) | (Gene355 & Gene443 & Gene673)
Gene454, (!Gene17 & !Gene804 & !Gene963 & Gene501)
Gene455, (!Gene230) | (!Gene647 & !Gene172 & Gene412) | (Gene172 & !Gene412) | (Gene647 & !Gene412)
Gene456, (Gene543 & !Gene554 & !Gene592) | (Gene543 & Gene116) | (Gene543 & Gene554 & Gene592)
Gene457, (!Gene584 & Gene24 & !Gene116) | (Gene584 & Gene248 & !Gene24 & !Gene116)
Gene458, (!Gene360) | (!Gene276) | (Gene794 & !Gene195)
Gene459, (!Gene274 & Gene430 & Gene996) | (Gene657 & !Gene274 & !Gene430 & !Gene996)
Gene460, (!Gene983) | (!Gene922 & !Gene197) | (Gene667 & !Gene922) | (Gene667 & !Gene197)
Gene461, (!Gene814 & !Gene489) | (!Gene153) | (!Gene814 & Gene961) | (Gene814 & !Gene961 & Gene489) | (Gene961 & !Gene489)
Gene462, (!Gene319 & !Gene340) | (!Gene319 & !Gene454) | (Gene332) | (Gene454 & !Gene340) | (Gene319 & Gene454)
Gene463, (Gene306 & !Gene447) | (!Gene836 & Gene649 & !Gene447)
Gene464, (!Gene896) | (!Gene606 & Gene84) | (Gene21)
Gene465, (!Gene248 & !Gene793 & !Gene245) | (!Gene177) | (Gene248 & Gene793)
Gene466, (!Gene604 & Gene709 & !Gene607) | (Gene887 & !Gene604 & !Gene607) | (Gene887 & !Gene604 & !Gene709)
Gene467, (!Gene914 & !Gene518) | (!Gene368) | (!Gene616)
Gene468, (!Gene542 & Gene847 & !Gene530) | (Gene847 & Gene744 & !Gene530) | (Gene542 & Gene847 & Gene744)
Gene469, (!Gene172 & Gene322 & !Gene134) | (Gene172 & Gene322 & Gene296 & Gene134)
Gene470, (!Gene231) | (!Gene647 & Gene534) | (!Gene451 & Gene534)
Gene471, (!Gene8) | (!Gene893 & !Gene424 & Gene128) | (Gene893 & !Gene424 & !Gene128)
Gene472, (Gene699 & !Gene195 & !Gene586) | (!Gene487 & Gene699 & !Gene586) | (!Gene487 & Gene699 & Gene195)
Gene473, (!Gene990 & !Gene873) | (Gene960) | (Gene990 & Gene873) | (Gene925 & !Gene873)
Gene474, (!Gene131) | (Gene198) | (!Gene558 & Gene696)
Gene475, (!Gene146 & !Gene96) | (!Gene994) | (!Gene676 & !Gene96) | (Gene146 & Gene96) | (Gene676 & Gene96)
Gene476, (!Gene129) | (Gene610 & Gene402 & Gene822)
Gene477, (!Gene812 & !Gene970 & !Gene817 & Gene461) | (!Gene812 & Gene817 & !Gene461) | (!Gene812 & Gene970 & !Gene461) | (!Gene812 & Gene970 & Gene817)
Gene478, (!Gene6 & !Gene3 & !Gene152) | (!Gene6 & Gene834) | (!Gene6 & Gene3 & Gene152)
Gene479, (!Gene257) | (!Gene494 & !Gene416 & Gene180) | (Gene494 & !Gene416 & !Gene180)
Gene480, (Gene506 & !Gene800 & !Gene763) | (Gene506 & Gene763 & Gene1)
Gene481, (!Gene819 & !Gene312 & Gene287) | (!Gene819 & Gene141)
Gene482, (!Gene831 & Gene712 & Gene895) | (Gene831 & Gene824 & Gene712 & !Gene895)
Gene483, (!Gene355 & !Gene905 & Gene426) | (!Gene355 & Gene971 & !Gene905)
Gene484, (!Gene606 & !Gene859) | (Gene681) | (!Gene600 & !Gene859) | (Gene600 & !Gene606)
Gene485, (!Gene31) | (!Gene772 & Gene5 & !Gene368) | (Gene772 & !Gene5) | (Gene772 & Gene368)
Gene486, (!Gene80 & Gene304 & Gene14) | (Gene80 & Gene304 & !Gene14) | (Gene304 & Gene14 & Gene566)
Gene487, (!Gene785 & Gene926 & Gene64) | (Gene785 & Gene926 & Gene11)
Gene488, (!Gene782) | (!Gene906 & !Gene760 & !Gene955) | (Gene906 & Gene760 & Gene955)
Gene489, (!Gene526) | (!Gene831 & Gene528 & !Gene714) | (Gene831 & !Gene528 & !Gene714) | (Gene831 & Gene528 & Gene714)
Gene490, (Gene414 & !Gene701 & !Gene706) | (Gene414 & !Gene924) | (Gene414 & Gene701 & Gene706)
Gene491, (!Gene966) | (!Gene337 & !Gene679) | (!Gene337 & Gene274) | (!Gene679 & Gene274)
Gene492, (!Gene942) | (!Gene55) | (Gene524 & Gene791)
Gene493, (!Gene648 & !Gene248 & !Gene274) | (!Gene648 & !Gene366 & !Gene248) | (!Gene648 & !Gene366 & !Gene274) | (!Gene648 & Gene366 & Gene248 & Gene274)
Gene494, (Gene992 & !Gene412 & Gene105) | (Gene992 & !Gene412 & Gene541)
Gene495, (!Gene774 & !Gene406 & Gene298) | (Gene718) | (Gene774 & Gene406 & Gene298)
Gene496, (!Gene381) | (!Gene811) | (!Gene848 & Gene728)
Gene497, (!Gene860 & !Gene417 & !Gene366) | (Gene860 & Gene417 & Gene234 & !Gene366)
Gene498, (!Gene812 & !Gene527) | (!Gene114) | (Gene335 & !Gene527) | (Gene335 & Gene812)
Gene499, (!Gene251 & !Gene899) | (!Gene869) | (Gene251 & !Gene335 & Gene899) | (Gene335 & !Gene899)
Gene500, (!Gene501) | (!Gene65) | (Gene41) | (Gene807)
Gene501, (!Gene640) | (!Gene999) | (!Gene449 & Gene799) | (Gene449 & !Gene799)
Gene502, (!Gene511) | (!Gene408 & !Gene157) | (!Gene322)
Gene503, (!Gene7 & !Gene151 & !Gene445) | (!Gene208 & !Gene151 & !Gene445)
Gene504, (Gene274 & !Gene745 & Gene267) | (Gene335 & Gene274 & !Gene745) | (Gene335 & Gene274 & Gene267)
Gene505, (!Gene456) | (!Gene71) | (Gene956 & Gene963)
Gene506, (!Gene309 & !Gene304 & !Gene439 & Gene998) | (Gene304 & !Gene439 & !Gene998) | (Gene309 & Gene304 & !Gene439)
Gene507, (!Gene999 & Gene371) | (!Gene999 & Gene457 & !Gene152)
Gene508, (!Gene792) | (Gene351 & Gene183) | (Gene505 & Gene183) | (Gene505 & Gene351)
Gene509, (!Gene724 & !Gene136 & !Gene397) | (Gene557 & !Gene397) | (Gene724 & Gene136 & !Gene397)
Gene510, (!Gene619) | (!Gene124 & Gene787 & Gene502) | (Gene124 & !Gene787 & Gene502)
Gene511, (!Gene393) | (!Gene204 & !Gene554) | (Gene204 & Gene554) | (Gene748 & !Gene554)
Gene512, (!Gene418 & Gene534 & !Gene397) | (!Gene418 & !Gene741 & Gene534) | (!Gene418 & Gene741 & !Gene534 & Gene397)
Gene513, (!Gene269) | (!Gene348 & Gene81) | (Gene544) | (Gene348 & !Gene81)
Gene514, (Gene125 & !Gene406 & !Gene235 & Gene850) | (Gene125 & !Gene406 & Gene235 & !Gene850)
Gene515, (Gene60 & !Gene620 & !Gene700 & !Gene662) | (Gene60 & Gene700 & Gene662) | (Gene60 & Gene620 & Gene700)
Gene516, (!Gene399 & !Gene836) | (Gene264) | (!Gene399 & Gene158) | (Gene399 & !Gene158 & Gene836)
Gene517, (!Gene265 & Gene222 & !Gene464 & Gene751) | (!Gene265 & Gene222 & Gene464 & !Gene751)
Gene518, (!Gene81) | (!Gene208 & !Gene373 & Gene790) | (Gene208 & !Gene790)
Gene519, (!Gene579 & Gene257 & !Gene116) | (Gene579 & !Gene257 & !Gene116) | (Gene535 & !Gene257 & !Gene116)
Gene520, (!Gene181 & Gene523 & !Gene916 & !Gene297)
Gene521, (!Gene764 & !Gene541) | (!Gene674 & Gene764 & Gene541) | (Gene819) | (Gene674 & !Gene764)
Gene522, (Gene950 & !Gene318 & Gene556 & !Gene863) | (Gene950 & Gene318 & !Gene556 & !Gene863)
Gene523, (!Gene800 & !Gene572 & Gene530 & !Gene139) | (Gene800 & !Gene572 & Gene139)
